ID;name;age;note;position;photo;club;drapeau;taille;poids;prix;rarete
0;G. Pasquale;33;69;LWB;https://cdn.sofifa.com/players/000/002/16_120.png;https://cdn.sofifa.com/teams/55/60.png;https://cdn.sofifa.com/flags/it.png;"6'0""";181lbs;625000;Argent
1;Luis García;37;71;CM;https://cdn.sofifa.com/players/000/016/19_120.png;https://cdn.sofifa.com/teams/2013/60.png;https://cdn.sofifa.com/flags/es.png;"5'10""";143lbs;600000;Argent
2;J. Cole;33;71;CAM;https://cdn.sofifa.com/players/000/027/16_120.png;https://cdn.sofifa.com/teams/1800/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'9""";161lbs;1100000;Argent
3;D. Yorke;36;68;ST;https://cdn.sofifa.com/players/000/036/09_120.png;https://cdn.sofifa.com/teams/106/60.png;https://cdn.sofifa.com/flags/tt.png;"5'11""";165lbs;1000000;Argent
4;Iniesta;36;81;CAM;https://cdn.sofifa.com/players/000/041/20_120.png;https://cdn.sofifa.com/teams/101146/60.png;https://cdn.sofifa.com/flags/es.png;"5'7""";150lbs;5500000;Or
5;D. Odonkor;27;66;RW;https://cdn.sofifa.com/players/000/061/12_120.png;https://cdn.sofifa.com/teams/1826/60.png;https://cdn.sofifa.com/flags/de.png;"5'8""";163lbs;725000;Argent
6;E. Belözoğlu;38;77;CM;https://cdn.sofifa.com/players/000/080/20_120.png;https://cdn.sofifa.com/teams/326/60.png;https://cdn.sofifa.com/flags/tr.png;"5'7""";159lbs;2800000;Or
7;R. Giggs;39;78;CAM;https://cdn.sofifa.com/players/000/241/14_120.png;https://cdn.sofifa.com/teams/11/60.png;https://cdn.sofifa.com/flags/gb-wls.png;"5'10""";157lbs;1000;Or
8;G. Neville  B;35;76;CB;https://cdn.sofifa.com/players/000/244/11_120.png;https://cdn.sofifa.com/teams/11/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'10""";174lbs;1000000;Or
9;P. Scholes;37;80;CAM;https://cdn.sofifa.com/players/000/246/13_120.png;https://cdn.sofifa.com/teams/11/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'7""";157lbs;400000;Or
10;P. Neville;35;74;CB;https://cdn.sofifa.com/players/000/249/13_120.png;https://cdn.sofifa.com/teams/7/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";168lbs;120000;Argent
11;D. Beckham;37;78;CM;https://cdn.sofifa.com/players/000/250/13_120.png;;https://cdn.sofifa.com/flags/gb-eng.png;"6'0""";165lbs;1000000;Or
12;R. Keane;35;80;CF;https://cdn.sofifa.com/players/000/330/17_120.png;https://cdn.sofifa.com/teams/697/60.png;https://cdn.sofifa.com/flags/ie.png;"5'9""";161lbs;5500000;Or
13;S. Campbell;35;75;CB;https://cdn.sofifa.com/players/000/388/11_120.png;https://cdn.sofifa.com/teams/13/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'2""";190lbs;1000000;Or
14;O. Kahn;38;87;GK;https://cdn.sofifa.com/players/000/488/08_120.png;https://cdn.sofifa.com/teams/21/60.png;https://cdn.sofifa.com/flags/de.png;"6'2""";198lbs;1000000;Or
15;D. Hamann;36;61;CB;https://cdn.sofifa.com/players/000/496/11_120.png;https://cdn.sofifa.com/teams/1798/60.png;https://cdn.sofifa.com/flags/de.png;"6'2""";168lbs;1000000;Argent
16;A. Okocha;33;73;CF;https://cdn.sofifa.com/players/000/570/08_120.png;https://cdn.sofifa.com/teams/1952/60.png;https://cdn.sofifa.com/flags/ng.png;"5'8""";154lbs;1000000;Argent
17;Zulu;26;66;ST;https://cdn.sofifa.com/players/000/670/11_120.png;https://cdn.sofifa.com/teams/1474/60.png;https://cdn.sofifa.com/flags/br.png;"6'4""";198lbs;1000000;Argent
18;M. Schwarzer;42;73;GK;https://cdn.sofifa.com/players/000/684/16_120.png;https://cdn.sofifa.com/teams/95/60.png;https://cdn.sofifa.com/flags/au.png;"6'4""";209lbs;500000;Argent
19;J. Lehmann;39;79;GK;https://cdn.sofifa.com/players/000/805/10_120.png;https://cdn.sofifa.com/teams/36/60.png;https://cdn.sofifa.com/flags/de.png;"6'3""";192lbs;1000000;Or
20;G. Király;39;69;GK;https://cdn.sofifa.com/players/001/001/16_120.png;https://cdn.sofifa.com/teams/1886/60.png;https://cdn.sofifa.com/flags/hu.png;"6'4""";201lbs;1000000;Argent
21;Roberto Carlos;38;79;CDM;https://cdn.sofifa.com/players/001/040/12_120.png;https://cdn.sofifa.com/teams/100766/60.png;https://cdn.sofifa.com/flags/br.png;"5'6""";154lbs;1000000;Or
22;J. Zanetti;39;75;CDM;https://cdn.sofifa.com/players/001/041/14_120.png;https://cdn.sofifa.com/teams/44/60.png;https://cdn.sofifa.com/flags/ar.png;"5'10""";165lbs;1000;Or
23;A. Del Piero;38;70;CAM;https://cdn.sofifa.com/players/001/075/14_120.png;https://cdn.sofifa.com/teams/111400/60.png;https://cdn.sofifa.com/flags/it.png;"5'9""";163lbs;190000;Argent
24;A. Nesta;37;73;CB;https://cdn.sofifa.com/players/001/088/14_120.png;https://cdn.sofifa.com/teams/111139/60.png;https://cdn.sofifa.com/flags/it.png;"6'2""";174lbs;1000000;Argent
25;P. Maldini;40;77;CB;https://cdn.sofifa.com/players/001/109/09_120.png;https://cdn.sofifa.com/teams/47/60.png;https://cdn.sofifa.com/flags/it.png;"6'1""";187lbs;1000000;Or
26;G. Buffon;42;82;GK;https://cdn.sofifa.com/players/001/179/20_120.png;https://cdn.sofifa.com/teams/45/60.png;https://cdn.sofifa.com/flags/it.png;"6'4""";203lbs;2200000;Or
27;F. Cannavaro;35;82;CB;https://cdn.sofifa.com/players/001/183/10_120.png;https://cdn.sofifa.com/teams/45/60.png;https://cdn.sofifa.com/flags/it.png;"5'9""";165lbs;1000000;Or
28;Couto;37;82;CB;https://cdn.sofifa.com/players/001/186/08_120.png;https://cdn.sofifa.com/teams/50/60.png;https://cdn.sofifa.com/flags/pt.png;"6'0""";185lbs;1000000;Or
29;F. Inzaghi;37;73;ST;https://cdn.sofifa.com/players/001/198/12_120.png;https://cdn.sofifa.com/teams/47/60.png;https://cdn.sofifa.com/flags/it.png;"5'11""";163lbs;350000;Argent
30;C. Abbiati;37;75;GK;https://cdn.sofifa.com/players/001/219/16_120.png;https://cdn.sofifa.com/teams/47/60.png;https://cdn.sofifa.com/flags/it.png;"6'3""";203lbs;1300000;Or
31;Marco Paulo;35;61;CF;https://cdn.sofifa.com/players/001/222/09_120.png;https://cdn.sofifa.com/teams/718/60.png;https://cdn.sofifa.com/flags/pt.png;"5'11""";168lbs;1000000;Argent
32;F. Totti;39;80;CAM;https://cdn.sofifa.com/players/001/238/17_120.png;https://cdn.sofifa.com/teams/52/60.png;https://cdn.sofifa.com/flags/it.png;"5'11""";181lbs;1500000;Or
33;C. Seedorf;37;82;CAM;https://cdn.sofifa.com/players/001/256/14_120.png;https://cdn.sofifa.com/teams/517/60.png;https://cdn.sofifa.com/flags/nl.png;"5'10""";176lbs;2200000;Or
34;P. Vieira;34;76;CDM;https://cdn.sofifa.com/players/001/419/11_120.png;https://cdn.sofifa.com/teams/10/60.png;https://cdn.sofifa.com/flags/fr.png;"6'4""";181lbs;1000000;Or
35;L. Thuram;35;83;CB;https://cdn.sofifa.com/players/001/615/08_120.png;https://cdn.sofifa.com/teams/241/60.png;https://cdn.sofifa.com/flags/fr.png;"6'1""";174lbs;1000000;Or
36;T. Henry;36;79;CAM;https://cdn.sofifa.com/players/001/625/15_120.png;;https://cdn.sofifa.com/flags/fr.png;"6'2""";183lbs;1000000;Or
37;C. Makélelé;37;74;CDM;https://cdn.sofifa.com/players/001/668/11_120.png;https://cdn.sofifa.com/teams/73/60.png;https://cdn.sofifa.com/flags/fr.png;"5'9""";154lbs;1000000;Argent
38;G. Coupet;37;75;GK;https://cdn.sofifa.com/players/001/747/11_120.png;https://cdn.sofifa.com/teams/73/60.png;https://cdn.sofifa.com/flags/fr.png;"5'11""";176lbs;1000000;Or
39;O. Solskjær;34;75;ST;https://cdn.sofifa.com/players/001/845/08_120.png;https://cdn.sofifa.com/teams/11/60.png;https://cdn.sofifa.com/flags/no.png;"5'9""";163lbs;1000000;Or
40;L. Bowyer;34;69;CM;https://cdn.sofifa.com/players/002/062/12_120.png;https://cdn.sofifa.com/teams/94/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'9""";152lbs;275000;Argent
41;M. Stekelenburg;37;72;GK;https://cdn.sofifa.com/players/002/147/20_120.png;https://cdn.sofifa.com/teams/245/60.png;https://cdn.sofifa.com/flags/nl.png;"6'6""";203lbs;325000;Argent
42;H. Trabelsi;29;79;RWB;https://cdn.sofifa.com/players/002/148/07_120.png;https://cdn.sofifa.com/teams/10/60.png;https://cdn.sofifa.com/flags/tn.png;"5'11""";163lbs;1000000;Or
43;R. Weidenfeller;36;75;GK;https://cdn.sofifa.com/players/002/196/18_120.png;https://cdn.sofifa.com/teams/22/60.png;https://cdn.sofifa.com/flags/de.png;"6'3""";198lbs;900000;Or
44;E. Heskey;37;66;ST;https://cdn.sofifa.com/players/002/231/16_120.png;https://cdn.sofifa.com/teams/4/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"6'1""";205lbs;80000;Argent
45;Eliseu;33;76;LB;https://cdn.sofifa.com/players/002/492/18_120.png;https://cdn.sofifa.com/teams/234/60.png;https://cdn.sofifa.com/flags/pt.png;"5'9""";181lbs;3000000;Or
46;S. Given;40;73;GK;https://cdn.sofifa.com/players/002/651/17_120.png;https://cdn.sofifa.com/teams/1806/60.png;https://cdn.sofifa.com/flags/ie.png;"6'1""";185lbs;500000;Argent
47;K. Ellison;41;58;ST;https://cdn.sofifa.com/players/002/702/20_120.png;https://cdn.sofifa.com/teams/112254/60.png;https://cdn.sofifa.com/flags/gb-eng.png;"5'11""";168lbs;1000000;Bronze
